0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
326,André Montibeller,Brazil,Male,M35-39,10,9:05:32,51,52:41,47,5:00:43,134,3:06:44,56,Finisher
39,Joanna Ryter,Switzerland,Female,FPRO,2,9:06:07,52,1:04:47,590,4:57:35,101,2:59:14,25,Finisher
1730,Marco Aurélio Barbosa Gimenes,Brazil,Male,M45-49,4,9:06:16,53,1:00:44,346,4:47:32,31,3:05:39,51,Finisher
1459,Clodoaldo Jose De Ooiveira,Brazil,Male,M40-44,8,9:06:18,54,58:34,217,5:00:16,128,3:00:39,31,Finisher
1543,Marcelo Henrique E Silva Lopes,Brazil,Male,M45-49,5,9:06:20,55,59:31,257,4:53:06,57,3:05:48,52,Finisher
1601,Rodrigo Souza,Brazil,Male,M45-49,6,9:06:52,56,1:02:55,475,4:50:19,41,3:06:28,54,Finisher
601,Marcelo Bodanese,Brazil,Male,M35-39,11,9:07:07,57,51:48,37,4:57:02,94,3:11:09,91,Finisher
1419,Sergio Vargas,Brazil,Male,M40-44,9,9:07:09,58,57:59,195,4:53:44,61,3:09:11,73,Finisher
823,Martin Santiago Bellabarba,Argentina,Male,M35-39,12,9:07:10,59,1:03:57,536,4:53:57,64,3:00:59,34,Finisher
269,Rodrigo Bodanese,Brazil,Male,M30-34,8,9:07:23,60,51:55,38,4:56:30,89,3:11:24,93,Finisher
1102,Abraham Martinez,Chile,Male,M40-44,10,9:08:57,61,59:33,263,5:03:51,172,2:56:04,15,Finisher
105,Diego Rachadel,Brazil,Male,M30-34,9,9:10:11,62,55:45,116,4:57:22,99,3:10:32,87,Finisher
1179,Joao Marcello Novaes Do Nascimento Baptista,Brazil,Male,M40-44,11,9:10:14,63,53:29,67,5:07:47,221,3:02:50,40,Finisher
387,Ana augusta Soares,Brazil,Female,F35-39,1,9:10:17,64,58:49,231,4:52:19,50,3:11:35,95,Finisher
590,João Paulo Giudice Moreira De Moraes,Brazil,Male,M25-29,4,9:10:46,65,53:28,65,4:56:06,84,3:14:57,124,Finisher
629,Paulo Gustavo Cardoso,Brazil,Male,M35-39,13,9:11:07,66,53:45,74,5:01:41,143,3:09:23,74,Finisher
573,Lucas Andrade Cabrac,Brazil,Male,M25-29,5,9:11:24,67,50:43,26,5:10:51,257,3:02:47,39,Finisher
332,Bruno Monteiro,Brazil,Male,M35-39,14,9:11:43,68,52:51,53,5:02:51,161,3:09:58,82,Finisher
810,Daniel Cunha,Brazil,Male,M35-39,15,9:12:08,69,1:00:21,319,4:54:37,71,3:10:22,85,Finisher
1630,Alexandre Guida,Brazil,Male,M45-49,7,9:12:44,70,55:48,117,4:55:03,75,3:13:44,108,Finisher
661,JONAS ROCHA,Brazil,Male,M35-39,16,9:13:01,71,1:02:22,443,4:55:01,74,3:08:44,71,Finisher
767,Thiago Mohana,Brazil,Male,M35-39,17,9:13:18,72,53:06,60,5:03:07,163,3:09:28,76,Finisher
277,Herbert Fellipe Luna Lira,Brazil,Male,M30-34,10,9:13:22,73,56:22,131,5:02:04,154,3:08:02,67,Finisher
1035,Lucas Da Silveira Pretto,Brazil,Male,M40-44,12,9:13:35,74,51:31,34,5:02:31,158,3:12:55,100,Finisher
1347,Raul Caetano,Uruguay,Male,M40-44,13,9:14:06,75,59:36,268,4:49:14,37,3:15:57,133,Finisher
31,Beatriz Neres,Brazil,Female,FPRO,3,9:14:47,76,58:18,208,5:01:08,141,3:09:09,72,Finisher
815,Aleksas Vaitkunas,Brazil,Male,M35-39,18,9:14:58,77,56:06,125,5:04:24,178,3:07:50,66,Finisher
920,Breno Nascimento,Brazil,Male,M35-39,19,9:14:58,78,55:36,108,4:52:17,49,3:18:54,164,Finisher
143,Cassio Chrispim,Brazil,Male,M30-34,11,9:15:12,79,59:27,254,4:57:50,104,3:10:42,90,Finisher
672,Tomas Ignacio Rivera Kofler,Chile,Male,M35-39,20,9:15:19,80,58:32,214,5:04:07,174,3:04:05,48,Finisher
588,Matheus Martini,Brazil,Male,M25-29,6,9:15:35,81,49:40,22,4:43:05,21,3:36:32,376,Finisher
915,Vinicius De Quadros Silvestrin,Brazil,Male,M35-39,21,9:15:37,82,53:22,62,4:59:56,122,3:14:43,121,Finisher
526,Lucas Morano,Argentina,Male,M18-24,3,9:17:11,83,53:37,70,4:50:55,42,3:25:19,224,Finisher
1752,Christiano Abreu Barbosa,Brazil,Male,M45-49,8,9:17:13,84,57:37,173,5:00:43,135,3:08:11,69,Finisher
592,Danilo Dos Santos Lima,Brazil,Male,M25-29,7,9:17:41,85,50:30,24,4:57:06,95,3:21:29,191,Finisher
1502,Adriano Godoi,Brazil,Male,M45-49,9,9:17:55,86,1:10:30,936,4:54:22,67,3:06:30,55,Finisher
575,Lucas Jose Petsa,Brazil,Male,M25-29,8,9:18:01,87,56:51,144,5:11:03,261,3:02:34,37,Finisher
1158,Douglas Rocha,Brazil,Male,M40-44,14,9:18:19,88,1:01:33,395,5:02:48,160,3:07:31,62,Finisher
1466,Jose Ricardo Rodrigues,Brazil,Male,M40-44,15,9:18:29,89,1:01:31,393,5:00:26,129,3:09:28,77,Finisher
1914,Welber Barbuio,Brazil,Male,M50-54,1,9:19:15,90,58:06,202,4:59:41,119,3:14:09,113,Finisher
780,David Franca Almeida,Brazil,Male,M35-39,22,9:19:35,91,1:02:26,448,4:59:24,114,3:08:35,70,Finisher
373,Larissa Fabrini,Brazil,Female,F30-34,1,9:20:20,92,1:03:58,537,4:55:19,78,3:15:14,127,Finisher
655,Fabio Esmerelles,Brazil,Male,M35-39,23,9:20:46,93,53:03,57,5:00:04,124,3:22:19,199,Finisher
